region,age,edu_level,sex,year,people
01 Stockholms län,65-74 år,forskarutbildning,män,2010,2483
01 Stockholms län,65-74 år,forskarutbildning,kvinnor,2010,1011
01 Stockholms län,65-74 år,uppgift om utbildningsnivå saknas,män,2010,1415
01 Stockholms län,65-74 år,uppgift om utbildningsnivå saknas,kvinnor,2010,1889
03 Uppsala län,16-24 år,förgymnasial utbildning kortare än 9 år,män,2010,105
03 Uppsala län,16-24 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,85
03 Uppsala län,16-24 år,"förgymnasial utbildning, 9 (10) år",män,2010,8548
03 Uppsala län,16-24 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,7697
03 Uppsala län,16-24 år,"gymnasial utbildning, högst 2 år",män,2010,826
03 Uppsala län,16-24 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,695
03 Uppsala län,16-24 år,"gymnasial utbildning, 3 år",män,2010,8179
03 Uppsala län,16-24 år,"gymnasial utbildning, 3 år",kvinnor,2010,7657
03 Uppsala län,16-24 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,3328
03 Uppsala län,16-24 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,4510
03 Uppsala län,16-24 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,964
03 Uppsala län,16-24 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,1524
03 Uppsala län,16-24 år,forskarutbildning,män,2010,0
03 Uppsala län,16-24 år,forskarutbildning,kvinnor,2010,0
03 Uppsala län,16-24 år,uppgift om utbildningsnivå saknas,män,2010,1190
03 Uppsala län,16-24 år,uppgift om utbildningsnivå saknas,kvinnor,2010,952
03 Uppsala län,25-34 år,förgymnasial utbildning kortare än 9 år,män,2010,321
03 Uppsala län,25-34 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,309
03 Uppsala län,25-34 år,"förgymnasial utbildning, 9 (10) år",män,2010,1921
03 Uppsala län,25-34 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1208
03 Uppsala län,25-34 år,"gymnasial utbildning, högst 2 år",män,2010,1454
03 Uppsala län,25-34 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,1125
03 Uppsala län,25-34 år,"gymnasial utbildning, 3 år",män,2010,7491
03 Uppsala län,25-34 år,"gymnasial utbildning, 3 år",kvinnor,2010,5386
03 Uppsala län,25-34 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,3497
03 Uppsala län,25-34 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,3148
03 Uppsala län,25-34 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,6776
03 Uppsala län,25-34 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,9550
03 Uppsala län,25-34 år,forskarutbildning,män,2010,473
03 Uppsala län,25-34 år,forskarutbildning,kvinnor,2010,399
03 Uppsala län,25-34 år,uppgift om utbildningsnivå saknas,män,2010,848
03 Uppsala län,25-34 år,uppgift om utbildningsnivå saknas,kvinnor,2010,588
03 Uppsala län,35-44 år,förgymnasial utbildning kortare än 9 år,män,2010,261
03 Uppsala län,35-44 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,433
03 Uppsala län,35-44 år,"förgymnasial utbildning, 9 (10) år",män,2010,1975
03 Uppsala län,35-44 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1256
03 Uppsala län,35-44 år,"gymnasial utbildning, högst 2 år",män,2010,7266
03 Uppsala län,35-44 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,4824
03 Uppsala län,35-44 år,"gymnasial utbildning, 3 år",män,2010,3592
03 Uppsala län,35-44 år,"gymnasial utbildning, 3 år",kvinnor,2010,4588
03 Uppsala län,35-44 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,3211
03 Uppsala län,35-44 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,2972
03 Uppsala län,35-44 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,4935
03 Uppsala län,35-44 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,7133
03 Uppsala län,35-44 år,forskarutbildning,män,2010,1118
03 Uppsala län,35-44 år,forskarutbildning,kvinnor,2010,948
03 Uppsala län,35-44 år,uppgift om utbildningsnivå saknas,män,2010,282
03 Uppsala län,35-44 år,uppgift om utbildningsnivå saknas,kvinnor,2010,217
03 Uppsala län,45-54 år,förgymnasial utbildning kortare än 9 år,män,2010,339
03 Uppsala län,45-54 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,410
03 Uppsala län,45-54 år,"förgymnasial utbildning, 9 (10) år",män,2010,3097
03 Uppsala län,45-54 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1869
03 Uppsala län,45-54 år,"gymnasial utbildning, högst 2 år",män,2010,8039
03 Uppsala län,45-54 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,6811
03 Uppsala län,45-54 år,"gymnasial utbildning, 3 år",män,2010,2432
03 Uppsala län,45-54 år,"gymnasial utbildning, 3 år",kvinnor,2010,3123
03 Uppsala län,45-54 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,2840
03 Uppsala län,45-54 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,3474
03 Uppsala län,45-54 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,3248
03 Uppsala län,45-54 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,4707
03 Uppsala län,45-54 år,forskarutbildning,män,2010,1084
03 Uppsala län,45-54 år,forskarutbildning,kvinnor,2010,681
03 Uppsala län,45-54 år,uppgift om utbildningsnivå saknas,män,2010,154
03 Uppsala län,45-54 år,uppgift om utbildningsnivå saknas,kvinnor,2010,140
03 Uppsala län,55-64 år,förgymnasial utbildning kortare än 9 år,män,2010,1803
03 Uppsala län,55-64 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,1311
03 Uppsala län,55-64 år,"förgymnasial utbildning, 9 (10) år",män,2010,2951
03 Uppsala län,55-64 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,2287
03 Uppsala län,55-64 år,"gymnasial utbildning, högst 2 år",män,2010,5569
03 Uppsala län,55-64 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,6883
03 Uppsala län,55-64 år,"gymnasial utbildning, 3 år",män,2010,2930
03 Uppsala län,55-64 år,"gymnasial utbildning, 3 år",kvinnor,2010,2113
03 Uppsala län,55-64 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,2543
03 Uppsala län,55-64 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,3284
03 Uppsala län,55-64 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,3718
03 Uppsala län,55-64 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,4521
03 Uppsala län,55-64 år,forskarutbildning,män,2010,1067
03 Uppsala län,55-64 år,forskarutbildning,kvinnor,2010,511
03 Uppsala län,55-64 år,uppgift om utbildningsnivå saknas,män,2010,90
03 Uppsala län,55-64 år,uppgift om utbildningsnivå saknas,kvinnor,2010,115
03 Uppsala län,65-74 år,förgymnasial utbildning kortare än 9 år,män,2010,4404
03 Uppsala län,65-74 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,3475
03 Uppsala län,65-74 år,"förgymnasial utbildning, 9 (10) år",män,2010,919
03 Uppsala län,65-74 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1364
03 Uppsala län,65-74 år,"gymnasial utbildning, högst 2 år",män,2010,3073
03 Uppsala län,65-74 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,4822
03 Uppsala län,65-74 år,"gymnasial utbildning, 3 år",män,2010,2354
03 Uppsala län,65-74 år,"gymnasial utbildning, 3 år",kvinnor,2010,953
03 Uppsala län,65-74 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,1262
03 Uppsala län,65-74 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,1788
03 Uppsala län,65-74 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,2399
03 Uppsala län,65-74 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,2881
03 Uppsala län,65-74 år,forskarutbildning,män,2010,896
03 Uppsala län,65-74 år,forskarutbildning,kvinnor,2010,307
03 Uppsala län,65-74 år,uppgift om utbildningsnivå saknas,män,2010,118
03 Uppsala län,65-74 år,uppgift om utbildningsnivå saknas,kvinnor,2010,139
04 Södermanlands län,16-24 år,förgymnasial utbildning kortare än 9 år,män,2010,168
04 Södermanlands län,16-24 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,184
04 Södermanlands län,16-24 år,"förgymnasial utbildning, 9 (10) år",män,2010,7125
04 Södermanlands län,16-24 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,6682
04 Södermanlands län,16-24 år,"gymnasial utbildning, högst 2 år",män,2010,563
04 Södermanlands län,16-24 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,444
04 Södermanlands län,16-24 år,"gymnasial utbildning, 3 år",män,2010,6793
04 Södermanlands län,16-24 år,"gymnasial utbildning, 3 år",kvinnor,2010,5774
04 Södermanlands län,16-24 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,684
04 Södermanlands län,16-24 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,1238
04 Södermanlands län,16-24 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,116
04 Södermanlands län,16-24 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,314
04 Södermanlands län,16-24 år,forskarutbildning,män,2010,0
04 Södermanlands län,16-24 år,forskarutbildning,kvinnor,2010,0
04 Södermanlands län,16-24 år,uppgift om utbildningsnivå saknas,män,2010,784
04 Södermanlands län,16-24 år,uppgift om utbildningsnivå saknas,kvinnor,2010,640
04 Södermanlands län,25-34 år,förgymnasial utbildning kortare än 9 år,män,2010,450
04 Södermanlands län,25-34 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,478
04 Södermanlands län,25-34 år,"förgymnasial utbildning, 9 (10) år",män,2010,1843
04 Södermanlands län,25-34 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1209
04 Södermanlands län,25-34 år,"gymnasial utbildning, högst 2 år",män,2010,1551
04 Södermanlands län,25-34 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,1191
04 Södermanlands län,25-34 år,"gymnasial utbildning, 3 år",män,2010,6304
04 Södermanlands län,25-34 år,"gymnasial utbildning, 3 år",kvinnor,2010,4784
04 Södermanlands län,25-34 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,1619
04 Södermanlands län,25-34 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,1769
04 Södermanlands län,25-34 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,2064
04 Södermanlands län,25-34 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,3973
04 Södermanlands län,25-34 år,forskarutbildning,män,2010,28
04 Södermanlands län,25-34 år,forskarutbildning,kvinnor,2010,29
04 Södermanlands län,25-34 år,uppgift om utbildningsnivå saknas,män,2010,438
04 Södermanlands län,25-34 år,uppgift om utbildningsnivå saknas,kvinnor,2010,391
04 Södermanlands län,35-44 år,förgymnasial utbildning kortare än 9 år,män,2010,321
04 Södermanlands län,35-44 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,515
04 Södermanlands län,35-44 år,"förgymnasial utbildning, 9 (10) år",män,2010,1732
04 Södermanlands län,35-44 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1254
04 Södermanlands län,35-44 år,"gymnasial utbildning, högst 2 år",män,2010,7295
04 Södermanlands län,35-44 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,4803
04 Södermanlands län,35-44 år,"gymnasial utbildning, 3 år",män,2010,3093
04 Södermanlands län,35-44 år,"gymnasial utbildning, 3 år",kvinnor,2010,3659
04 Södermanlands län,35-44 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,2400
04 Södermanlands län,35-44 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,2541
04 Södermanlands län,35-44 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,2509
04 Södermanlands län,35-44 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,4404
04 Södermanlands län,35-44 år,forskarutbildning,män,2010,133
04 Södermanlands län,35-44 år,forskarutbildning,kvinnor,2010,93
04 Södermanlands län,35-44 år,uppgift om utbildningsnivå saknas,män,2010,205
04 Södermanlands län,35-44 år,uppgift om utbildningsnivå saknas,kvinnor,2010,181
04 Södermanlands län,45-54 år,förgymnasial utbildning kortare än 9 år,män,2010,442
04 Södermanlands län,45-54 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,467
04 Södermanlands län,45-54 år,"förgymnasial utbildning, 9 (10) år",män,2010,2714
04 Södermanlands län,45-54 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1925
04 Södermanlands län,45-54 år,"gymnasial utbildning, högst 2 år",män,2010,8119
04 Södermanlands län,45-54 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,6636
04 Södermanlands län,45-54 år,"gymnasial utbildning, 3 år",män,2010,2087
04 Södermanlands län,45-54 år,"gymnasial utbildning, 3 år",kvinnor,2010,2560
04 Södermanlands län,45-54 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,2564
04 Södermanlands län,45-54 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,2700
04 Södermanlands län,45-54 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,1848
04 Södermanlands län,45-54 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,2974
04 Södermanlands län,45-54 år,forskarutbildning,män,2010,125
04 Södermanlands län,45-54 år,forskarutbildning,kvinnor,2010,68
04 Södermanlands län,45-54 år,uppgift om utbildningsnivå saknas,män,2010,151
04 Södermanlands län,45-54 år,uppgift om utbildningsnivå saknas,kvinnor,2010,144
04 Södermanlands län,55-64 år,förgymnasial utbildning kortare än 9 år,män,2010,2755
04 Södermanlands län,55-64 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,2141
04 Södermanlands län,55-64 år,"förgymnasial utbildning, 9 (10) år",män,2010,2323
04 Södermanlands län,55-64 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,2163
04 Södermanlands län,55-64 år,"gymnasial utbildning, högst 2 år",män,2010,5686
04 Södermanlands län,55-64 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,6912
04 Södermanlands län,55-64 år,"gymnasial utbildning, 3 år",män,2010,2842
04 Södermanlands län,55-64 år,"gymnasial utbildning, 3 år",kvinnor,2010,1756
04 Södermanlands län,55-64 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,2378
04 Södermanlands län,55-64 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,2588
04 Södermanlands län,55-64 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,2097
04 Södermanlands län,55-64 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,2731
04 Södermanlands län,55-64 år,forskarutbildning,män,2010,127
04 Södermanlands län,55-64 år,forskarutbildning,kvinnor,2010,46
04 Södermanlands län,55-64 år,uppgift om utbildningsnivå saknas,män,2010,97
04 Södermanlands län,55-64 år,uppgift om utbildningsnivå saknas,kvinnor,2010,134
04 Södermanlands län,65-74 år,förgymnasial utbildning kortare än 9 år,män,2010,5068
04 Södermanlands län,65-74 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,4334
04 Södermanlands län,65-74 år,"förgymnasial utbildning, 9 (10) år",män,2010,765
04 Södermanlands län,65-74 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1298
04 Södermanlands län,65-74 år,"gymnasial utbildning, högst 2 år",män,2010,3559
04 Södermanlands län,65-74 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,5340
04 Södermanlands län,65-74 år,"gymnasial utbildning, 3 år",män,2010,2680
04 Södermanlands län,65-74 år,"gymnasial utbildning, 3 år",kvinnor,2010,943
04 Södermanlands län,65-74 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,1423
04 Södermanlands län,65-74 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,1533
04 Södermanlands län,65-74 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,1552
04 Södermanlands län,65-74 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,1803
04 Södermanlands län,65-74 år,forskarutbildning,män,2010,127
04 Södermanlands län,65-74 år,forskarutbildning,kvinnor,2010,26
04 Södermanlands län,65-74 år,uppgift om utbildningsnivå saknas,män,2010,133
04 Södermanlands län,65-74 år,uppgift om utbildningsnivå saknas,kvinnor,2010,169
05 Östergötlands län,16-24 år,förgymnasial utbildning kortare än 9 år,män,2010,253
05 Östergötlands län,16-24 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,236
05 Östergötlands län,16-24 år,"förgymnasial utbildning, 9 (10) år",män,2010,11124
05 Östergötlands län,16-24 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,10116
05 Östergötlands län,16-24 år,"gymnasial utbildning, högst 2 år",män,2010,1214
05 Östergötlands län,16-24 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,863
05 Östergötlands län,16-24 år,"gymnasial utbildning, 3 år",män,2010,10836
05 Östergötlands län,16-24 år,"gymnasial utbildning, 3 år",kvinnor,2010,9410
05 Östergötlands län,16-24 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,3843
05 Östergötlands län,16-24 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,3980
05 Östergötlands län,16-24 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,965
05 Östergötlands län,16-24 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,1151
05 Östergötlands län,16-24 år,forskarutbildning,män,2010,1
05 Östergötlands län,16-24 år,forskarutbildning,kvinnor,2010,0
05 Östergötlands län,16-24 år,uppgift om utbildningsnivå saknas,män,2010,1422
05 Östergötlands län,16-24 år,uppgift om utbildningsnivå saknas,kvinnor,2010,1130
05 Östergötlands län,25-34 år,förgymnasial utbildning kortare än 9 år,män,2010,587
05 Östergötlands län,25-34 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,615
05 Östergötlands län,25-34 år,"förgymnasial utbildning, 9 (10) år",män,2010,2574
05 Östergötlands län,25-34 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1645
05 Östergötlands län,25-34 år,"gymnasial utbildning, högst 2 år",män,2010,2393
05 Östergötlands län,25-34 år,"gymnasial utbildning, högst 2 år",kvinnor,2010,1722
05 Östergötlands län,25-34 år,"gymnasial utbildning, 3 år",män,2010,9781
05 Östergötlands län,25-34 år,"gymnasial utbildning, 3 år",kvinnor,2010,7451
05 Östergötlands län,25-34 år,"eftergymnasial utbildning, mindre än 3 år",män,2010,3898
05 Östergötlands län,25-34 år,"eftergymnasial utbildning, mindre än 3 år",kvinnor,2010,3142
05 Östergötlands län,25-34 år,"eftergymnasial utbildning, 3 år eller mer",män,2010,6885
05 Östergötlands län,25-34 år,"eftergymnasial utbildning, 3 år eller mer",kvinnor,2010,9109
05 Östergötlands län,25-34 år,forskarutbildning,män,2010,234
05 Östergötlands län,25-34 år,forskarutbildning,kvinnor,2010,156
05 Östergötlands län,25-34 år,uppgift om utbildningsnivå saknas,män,2010,779
05 Östergötlands län,25-34 år,uppgift om utbildningsnivå saknas,kvinnor,2010,729
05 Östergötlands län,35-44 år,förgymnasial utbildning kortare än 9 år,män,2010,477
05 Östergötlands län,35-44 år,förgymnasial utbildning kortare än 9 år,kvinnor,2010,677
05 Östergötlands län,35-44 år,"förgymnasial utbildning, 9 (10) år",män,2010,2327
05 Östergötlands län,35-44 år,"förgymnasial utbildning, 9 (10) år",kvinnor,2010,1621
05 Östergötlands län,35-44 år,"gymnasial utbildning, högst 2 år",män,2010,10414
