"Befolkning efter region, ålder, utbildningsnivå, kön och år"

"region","ålder","utbildningsnivå","kön","2010","2011","2012","2013","2014","2015","2016","2017"
"01 Stockholms län","35-44 år","förgymnasial utbildning kortare än 9 år","kvinnor",4376,4461,4565,4623,4590,4630,4652,4625
"01 Stockholms län","35-44 år","förgymnasial utbildning, 9 (10) år","män",13382,12817,12845,13342,13915,14006,14211,14359
"01 Stockholms län","35-44 år","förgymnasial utbildning, 9 (10) år","kvinnor",9142,8764,8465,8397,8462,8255,8231,8228
"01 Stockholms län","35-44 år","gymnasial utbildning, högst 2 år","män",37317,34519,31144,28397,26088,24038,21746,19896
"01 Stockholms län","35-44 år","gymnasial utbildning, högst 2 år","kvinnor",28709,26363,23954,21879,20072,18595,16968,15739
"01 Stockholms län","35-44 år","gymnasial utbildning, 3 år","män",26398,28426,30594,32227,33849,35493,36784,37545
"01 Stockholms län","35-44 år","gymnasial utbildning, 3 år","kvinnor",29777,30136,30660,30882,31360,31519,31436,31037
"01 Stockholms län","35-44 år","eftergymnasial utbildning, mindre än 3 år","män",26747,26183,25658,25232,25085,25026,25007,25085
"01 Stockholms län","35-44 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",23842,23204,22686,22370,22079,22192,22392,22756
"01 Stockholms län","35-44 år","eftergymnasial utbildning, 3 år eller mer","män",44946,47259,48900,50684,52685,54738,56187,57454
"01 Stockholms län","35-44 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",55452,58730,61474,64045,67192,70201,72194,74109
"01 Stockholms län","35-44 år","forskarutbildning","män",3563,3613,3592,3635,3595,3625,3634,3749
"01 Stockholms län","35-44 år","forskarutbildning","kvinnor",2721,2883,3023,3168,3220,3303,3340,3395
"01 Stockholms län","35-44 år","uppgift om utbildningsnivå saknas","män",4195,4472,4937,5369,5839,6491,7414,8422
"01 Stockholms län","35-44 år","uppgift om utbildningsnivå saknas","kvinnor",2407,2567,2651,2747,2919,3109,3483,3905
"01 Stockholms län","45-54 år","förgymnasial utbildning kortare än 9 år","män",3702,3702,3673,3757,3816,3819,3898,3978
"01 Stockholms län","45-54 år","förgymnasial utbildning kortare än 9 år","kvinnor",4645,4737,4800,4861,4930,4897,4908,4931
"01 Stockholms län","45-54 år","förgymnasial utbildning, 9 (10) år","män",17326,17018,16571,16007,15390,14963,14653,14264
"01 Stockholms län","45-54 år","förgymnasial utbildning, 9 (10) år","kvinnor",10936,10717,10532,10250,9982,9806,9657,9369
"01 Stockholms län","45-54 år","gymnasial utbildning, högst 2 år","män",39876,41075,42196,42827,43297,43573,43713,43203
"01 Stockholms län","45-54 år","gymnasial utbildning, högst 2 år","kvinnor",36116,36288,36237,36096,35711,35222,34513,33369
"01 Stockholms län","45-54 år","gymnasial utbildning, 3 år","män",18674,19278,19707,20086,20506,20883,21357,22370
"01 Stockholms län","45-54 år","gymnasial utbildning, 3 år","kvinnor",20146,21676,22882,24125,25063,26049,26789,27624
"01 Stockholms län","45-54 år","eftergymnasial utbildning, mindre än 3 år","män",23169,24129,25080,25856,26511,27285,28033,28567
"01 Stockholms län","45-54 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",24502,24748,25033,25257,25552,25772,25948,25824
"01 Stockholms län","45-54 år","eftergymnasial utbildning, 3 år eller mer","män",30285,31552,32651,33897,35226,36701,38524,40641
"01 Stockholms län","45-54 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",34667,36763,38684,40681,42614,44931,47974,50902
"01 Stockholms län","45-54 år","forskarutbildning","män",3142,3282,3466,3580,3705,3777,3896,4013
"01 Stockholms län","45-54 år","forskarutbildning","kvinnor",2007,2133,2244,2373,2527,2685,2899,3123
"01 Stockholms län","45-54 år","uppgift om utbildningsnivå saknas","män",1999,2003,2248,2405,2638,2895,3198,3642
"01 Stockholms län","45-54 år","uppgift om utbildningsnivå saknas","kvinnor",1431,1348,1377,1432,1429,1450,1628,1797
"01 Stockholms län","55-64 år","förgymnasial utbildning kortare än 9 år","män",7051,6137,5359,4856,4566,4352,4186,4004
"01 Stockholms län","55-64 år","förgymnasial utbildning kortare än 9 år","kvinnor",6296,5848,5390,5141,5087,5126,5114,5070
"01 Stockholms län","55-64 år","förgymnasial utbildning, 9 (10) år","män",14953,15268,15522,15607,15766,15764,15876,15827
"01 Stockholms län","55-64 år","förgymnasial utbildning, 9 (10) år","kvinnor",12022,11772,11474,11106,10762,10472,10273,10104
"01 Stockholms län","55-64 år","gymnasial utbildning, högst 2 år","män",26493,27314,28047,28920,29957,31004,32179,32807
"01 Stockholms län","55-64 år","gymnasial utbildning, högst 2 år","kvinnor",33582,32921,32514,32121,32101,32113,32423,31950
"01 Stockholms län","55-64 år","gymnasial utbildning, 3 år","män",19213,18277,17575,16988,16568,16339,16366,16988
"01 Stockholms län","55-64 år","gymnasial utbildning, 3 år","kvinnor",14053,14172,14351,14522,14722,14978,15408,16699
"01 Stockholms län","55-64 år","eftergymnasial utbildning, mindre än 3 år","män",15979,16622,17234,17936,18573,18860,19454,20037
"01 Stockholms län","55-64 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",20559,20628,20801,21015,21177,21592,21949,22522
"01 Stockholms län","55-64 år","eftergymnasial utbildning, 3 år eller mer","män",25256,25318,25292,25468,25696,26069,26806,27566
"01 Stockholms län","55-64 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",27674,27937,28079,28408,28826,29420,30310,31517
"01 Stockholms län","55-64 år","forskarutbildning","män",2806,2837,2851,2842,2880,2982,3053,3083
"01 Stockholms län","55-64 år","forskarutbildning","kvinnor",1429,1488,1560,1639,1729,1851,1913,2021
"01 Stockholms län","55-64 år","uppgift om utbildningsnivå saknas","män",1255,1156,1190,1234,1256,1325,1448,1557
"01 Stockholms län","55-64 år","uppgift om utbildningsnivå saknas","kvinnor",1148,999,988,1021,1021,1025,1092,1114
"01 Stockholms län","65-74 år","förgymnasial utbildning kortare än 9 år","män",14269,13857,13413,12618,11693,10701,9679,8555
"01 Stockholms län","65-74 år","förgymnasial utbildning kortare än 9 år","kvinnor",12748,12145,11570,10950,10208,9457,8687,7884
"01 Stockholms län","65-74 år","förgymnasial utbildning, 9 (10) år","män",5925,6677,7433,8273,8977,9660,10146,10636
"01 Stockholms län","65-74 år","förgymnasial utbildning, 9 (10) år","kvinnor",8387,8930,9401,9923,10384,10653,10742,10717
"01 Stockholms län","65-74 år","gymnasial utbildning, högst 2 år","män",15999,16925,17917,18676,19321,19843,20383,20702
"01 Stockholms län","65-74 år","gymnasial utbildning, högst 2 år","kvinnor",27363,28725,29789,30638,31135,31522,31539,30963
"01 Stockholms län","65-74 år","gymnasial utbildning, 3 år","män",17318,18233,18927,19468,19660,19801,19555,19348
"01 Stockholms län","65-74 år","gymnasial utbildning, 3 år","kvinnor",8154,8858,9524,10205,10859,11481,11963,12632
"01 Stockholms län","65-74 år","eftergymnasial utbildning, mindre än 3 år","män",8404,9033,9547,10116,10836,11636,12235,12864
"01 Stockholms län","65-74 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",12340,13318,14371,15363,16197,16915,17573,18142
"01 Stockholms län","65-74 år","eftergymnasial utbildning, 3 år eller mer","män",16754,18258,19752,20883,21882,22675,23252,23638
"01 Stockholms län","65-74 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",17800,19558,21230,22631,23931,25076,25820,26200
"01 Stockholms län","65-74 år","forskarutbildning","män",2483,2596,2700,2790,2832,2841,2850,2867
"01 Stockholms län","65-74 år","forskarutbildning","kvinnor",1011,1094,1199,1225,1252,1281,1326,1382
"01 Stockholms län","65-74 år","uppgift om utbildningsnivå saknas","män",1415,1403,1410,1431,1361,1293,1283,1273
"01 Stockholms län","65-74 år","uppgift om utbildningsnivå saknas","kvinnor",1889,1848,1805,1816,1747,1665,1643,1543
"03 Uppsala län","16-24 år","förgymnasial utbildning kortare än 9 år","män",105,115,117,129,134,158,185,188
"03 Uppsala län","16-24 år","förgymnasial utbildning kortare än 9 år","kvinnor",85,91,96,98,79,87,103,117
"03 Uppsala län","16-24 år","förgymnasial utbildning, 9 (10) år","män",8548,8418,7999,7730,7445,7254,7259,7347
"03 Uppsala län","16-24 år","förgymnasial utbildning, 9 (10) år","kvinnor",7697,7555,7095,6703,6471,6377,6268,6343
"03 Uppsala län","16-24 år","gymnasial utbildning, högst 2 år","män",826,811,706,630,619,591,620,573
"03 Uppsala län","16-24 år","gymnasial utbildning, högst 2 år","kvinnor",695,705,610,585,558,539,555,558
"03 Uppsala län","16-24 år","gymnasial utbildning, 3 år","män",8179,8294,8642,8681,8603,8451,8272,8096
"03 Uppsala län","16-24 år","gymnasial utbildning, 3 år","kvinnor",7657,7641,7855,7960,7716,7453,7305,7253
"03 Uppsala län","16-24 år","eftergymnasial utbildning, mindre än 3 år","män",3328,3572,3544,3597,3538,3422,3190,3078
"03 Uppsala län","16-24 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",4510,4797,4956,4917,4802,4736,4515,4342
"03 Uppsala län","16-24 år","eftergymnasial utbildning, 3 år eller mer","män",964,931,1067,1100,1146,1134,1134,1042
"03 Uppsala län","16-24 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",1524,1515,1615,1713,1729,1860,1825,1715
"03 Uppsala län","16-24 år","forskarutbildning","män",0,0,0,0,0,0,0,0
"03 Uppsala län","16-24 år","forskarutbildning","kvinnor",0,0,0,1,1,0,0,0
"03 Uppsala län","16-24 år","uppgift om utbildningsnivå saknas","män",1190,1049,1027,996,1011,1023,1220,1492
"03 Uppsala län","16-24 år","uppgift om utbildningsnivå saknas","kvinnor",952,800,805,778,803,828,1003,1001
"03 Uppsala län","25-34 år","förgymnasial utbildning kortare än 9 år","män",321,350,368,364,360,374,434,514
"03 Uppsala län","25-34 år","förgymnasial utbildning kortare än 9 år","kvinnor",309,320,331,305,311,325,369,422
"03 Uppsala län","25-34 år","förgymnasial utbildning, 9 (10) år","män",1921,1935,1952,1923,1930,2034,2121,2211
"03 Uppsala län","25-34 år","förgymnasial utbildning, 9 (10) år","kvinnor",1208,1187,1181,1147,1124,1163,1248,1302
"03 Uppsala län","25-34 år","gymnasial utbildning, högst 2 år","män",1454,1392,1606,1712,1736,1769,1890,1951
"03 Uppsala län","25-34 år","gymnasial utbildning, högst 2 år","kvinnor",1125,1140,1317,1372,1411,1456,1573,1590
"03 Uppsala län","25-34 år","gymnasial utbildning, 3 år","män",7491,7705,7721,8034,8437,8841,9301,9847
"03 Uppsala län","25-34 år","gymnasial utbildning, 3 år","kvinnor",5386,5419,5452,5526,5855,6160,6460,6844
"03 Uppsala län","25-34 år","eftergymnasial utbildning, mindre än 3 år","män",3497,3655,3832,3905,3965,4181,4361,4518
"03 Uppsala län","25-34 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",3148,3380,3499,3730,3774,3971,4214,4469
"03 Uppsala län","25-34 år","eftergymnasial utbildning, 3 år eller mer","män",6776,6915,6974,7214,7337,7294,7584,7799
"03 Uppsala län","25-34 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",9550,9679,9830,10108,10383,10469,10806,11229
"03 Uppsala län","25-34 år","forskarutbildning","män",473,467,427,429,430,414,416,427
"03 Uppsala län","25-34 år","forskarutbildning","kvinnor",399,391,397,397,399,386,374,372
"03 Uppsala län","25-34 år","uppgift om utbildningsnivå saknas","män",848,811,791,830,843,906,1067,1248
"03 Uppsala län","25-34 år","uppgift om utbildningsnivå saknas","kvinnor",588,541,590,626,642,648,765,875
"03 Uppsala län","35-44 år","förgymnasial utbildning kortare än 9 år","män",261,271,285,304,321,369,418,486
"03 Uppsala län","35-44 år","förgymnasial utbildning kortare än 9 år","kvinnor",433,435,447,469,477,485,517,560
"03 Uppsala län","35-44 år","förgymnasial utbildning, 9 (10) år","män",1975,1889,1894,1916,1961,1970,1955,1921
"03 Uppsala län","35-44 år","förgymnasial utbildning, 9 (10) år","kvinnor",1256,1210,1135,1136,1124,1082,1073,1055
"03 Uppsala län","35-44 år","gymnasial utbildning, högst 2 år","män",7266,6549,5778,5042,4442,3905,3309,2913
"03 Uppsala län","35-44 år","gymnasial utbildning, högst 2 år","kvinnor",4824,4271,3715,3279,2910,2604,2297,2060
"03 Uppsala län","35-44 år","gymnasial utbildning, 3 år","män",3592,4002,4508,4871,5274,5710,6082,6456
"03 Uppsala län","35-44 år","gymnasial utbildning, 3 år","kvinnor",4588,4662,4675,4712,4743,4774,4770,4831
"03 Uppsala län","35-44 år","eftergymnasial utbildning, mindre än 3 år","män",3211,3127,3007,2885,2868,2847,2911,3032
"03 Uppsala län","35-44 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",2972,2811,2642,2632,2579,2593,2612,2615
"03 Uppsala län","35-44 år","eftergymnasial utbildning, 3 år eller mer","män",4935,5180,5415,5572,5727,5986,6097,6258
"03 Uppsala län","35-44 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",7133,7556,7914,8210,8553,9058,9374,9637
"03 Uppsala län","35-44 år","forskarutbildning","män",1118,1134,1170,1208,1226,1247,1239,1268
"03 Uppsala län","35-44 år","forskarutbildning","kvinnor",948,973,1024,1055,1086,1125,1165,1185
"03 Uppsala län","35-44 år","uppgift om utbildningsnivå saknas","män",282,314,345,354,389,422,514,632
"03 Uppsala län","35-44 år","uppgift om utbildningsnivå saknas","kvinnor",217,221,244,236,257,279,309,362
"03 Uppsala län","45-54 år","förgymnasial utbildning kortare än 9 år","män",339,332,316,320,336,350,368,394
"03 Uppsala län","45-54 år","förgymnasial utbildning kortare än 9 år","kvinnor",410,424,424,437,464,489,510,551
"03 Uppsala län","45-54 år","förgymnasial utbildning, 9 (10) år","män",3097,2948,2803,2678,2542,2432,2340,2290
"03 Uppsala län","45-54 år","förgymnasial utbildning, 9 (10) år","kvinnor",1869,1769,1706,1590,1512,1448,1412,1383
"03 Uppsala län","45-54 år","gymnasial utbildning, högst 2 år","män",8039,8189,8371,8499,8605,8728,8873,8711
"03 Uppsala län","45-54 år","gymnasial utbildning, högst 2 år","kvinnor",6811,6777,6693,6583,6407,6215,6048,5890
"03 Uppsala län","45-54 år","gymnasial utbildning, 3 år","män",2432,2498,2546,2557,2566,2612,2717,2860
"03 Uppsala län","45-54 år","gymnasial utbildning, 3 år","kvinnor",3123,3341,3553,3724,3909,4041,4200,4325
"03 Uppsala län","45-54 år","eftergymnasial utbildning, mindre än 3 år","män",2840,2894,2982,3092,3184,3278,3390,3480
"03 Uppsala län","45-54 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",3474,3434,3438,3372,3348,3338,3354,3360
"03 Uppsala län","45-54 år","eftergymnasial utbildning, 3 år eller mer","män",3248,3316,3396,3547,3691,3819,4040,4310
"03 Uppsala län","45-54 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",4707,4908,5165,5387,5598,5832,6133,6520
"03 Uppsala län","45-54 år","forskarutbildning","män",1084,1088,1090,1095,1099,1118,1181,1221
"03 Uppsala län","45-54 år","forskarutbildning","kvinnor",681,712,747,768,820,853,875,956
"03 Uppsala län","45-54 år","uppgift om utbildningsnivå saknas","män",154,158,143,166,166,201,234,266
"03 Uppsala län","45-54 år","uppgift om utbildningsnivå saknas","kvinnor",140,128,130,129,126,131,150,170
"03 Uppsala län","55-64 år","förgymnasial utbildning kortare än 9 år","män",1803,1415,1077,879,706,610,514,448
"03 Uppsala län","55-64 år","förgymnasial utbildning kortare än 9 år","kvinnor",1311,1044,830,690,598,560,509,488
"03 Uppsala län","55-64 år","förgymnasial utbildning, 9 (10) år","män",2951,3104,3175,3192,3231,3256,3267,3265
"03 Uppsala län","55-64 år","förgymnasial utbildning, 9 (10) år","kvinnor",2287,2300,2264,2223,2153,2090,2065,1987
"03 Uppsala län","55-64 år","gymnasial utbildning, högst 2 år","män",5569,5805,5945,6045,6215,6375,6576,6832
"03 Uppsala län","55-64 år","gymnasial utbildning, högst 2 år","kvinnor",6883,6815,6731,6656,6564,6477,6466,6395
"03 Uppsala län","55-64 år","gymnasial utbildning, 3 år","män",2930,2800,2663,2529,2416,2328,2278,2347
"03 Uppsala län","55-64 år","gymnasial utbildning, 3 år","kvinnor",2113,2190,2264,2307,2399,2490,2599,2733
"03 Uppsala län","55-64 år","eftergymnasial utbildning, mindre än 3 år","män",2543,2602,2615,2643,2650,2632,2619,2620
"03 Uppsala län","55-64 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",3284,3331,3371,3379,3354,3361,3374,3359
"03 Uppsala län","55-64 år","eftergymnasial utbildning, 3 år eller mer","män",3718,3618,3544,3409,3312,3234,3241,3236
"03 Uppsala län","55-64 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",4521,4530,4445,4347,4320,4347,4426,4494
"03 Uppsala län","55-64 år","forskarutbildning","män",1067,1073,1082,1087,1081,1080,1078,1058
"03 Uppsala län","55-64 år","forskarutbildning","kvinnor",511,529,566,602,616,645,691,696
"03 Uppsala län","55-64 år","uppgift om utbildningsnivå saknas","män",90,79,94,90,91,101,117,131
"03 Uppsala län","55-64 år","uppgift om utbildningsnivå saknas","kvinnor",115,96,104,88,81,88,93,108
"03 Uppsala län","65-74 år","förgymnasial utbildning kortare än 9 år","män",4404,4349,4225,3985,3662,3332,3048,2670
"03 Uppsala län","65-74 år","förgymnasial utbildning kortare än 9 år","kvinnor",3475,3366,3238,3026,2786,2519,2295,2008
"03 Uppsala län","65-74 år","förgymnasial utbildning, 9 (10) år","män",919,1053,1209,1389,1562,1724,1878,2037
"03 Uppsala län","65-74 år","förgymnasial utbildning, 9 (10) år","kvinnor",1364,1460,1550,1651,1763,1866,1924,1951
"03 Uppsala län","65-74 år","gymnasial utbildning, högst 2 år","män",3073,3330,3555,3892,4134,4332,4501,4615
"03 Uppsala län","65-74 år","gymnasial utbildning, högst 2 år","kvinnor",4822,5151,5494,5816,6062,6265,6421,6491
"03 Uppsala län","65-74 år","gymnasial utbildning, 3 år","män",2354,2564,2761,2891,2999,3054,3050,3025
"03 Uppsala län","65-74 år","gymnasial utbildning, 3 år","kvinnor",953,1050,1173,1321,1440,1574,1701,1832
"03 Uppsala län","65-74 år","eftergymnasial utbildning, mindre än 3 år","män",1262,1385,1534,1649,1773,1958,2095,2214
"03 Uppsala län","65-74 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",1788,1931,2084,2282,2469,2601,2767,2922
"03 Uppsala län","65-74 år","eftergymnasial utbildning, 3 år eller mer","män",2399,2667,2887,3157,3352,3556,3616,3666
"03 Uppsala län","65-74 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",2881,3171,3469,3756,3980,4189,4353,4457
"03 Uppsala län","65-74 år","forskarutbildning","män",896,930,956,982,990,1008,996,1003
"03 Uppsala län","65-74 år","forskarutbildning","kvinnor",307,332,345,370,407,428,442,443
"03 Uppsala län","65-74 år","uppgift om utbildningsnivå saknas","män",118,115,121,125,105,111,115,119
"03 Uppsala län","65-74 år","uppgift om utbildningsnivå saknas","kvinnor",139,135,135,151,137,129,134,143
"04 Södermanlands län","16-24 år","förgymnasial utbildning kortare än 9 år","män",168,200,202,211,257,296,318,313
"04 Södermanlands län","16-24 år","förgymnasial utbildning kortare än 9 år","kvinnor",184,222,242,238,260,253,239,225
"04 Södermanlands län","16-24 år","förgymnasial utbildning, 9 (10) år","män",7125,7047,6880,6473,6339,6189,6216,6393
"04 Södermanlands län","16-24 år","förgymnasial utbildning, 9 (10) år","kvinnor",6682,6449,6047,5737,5639,5564,5635,5793
"04 Södermanlands län","16-24 år","gymnasial utbildning, högst 2 år","män",563,530,480,448,464,461,523,518
"04 Södermanlands län","16-24 år","gymnasial utbildning, högst 2 år","kvinnor",444,435,432,441,452,427,465,465
"04 Södermanlands län","16-24 år","gymnasial utbildning, 3 år","män",6793,6950,7036,7112,6854,6664,6305,6079
"04 Södermanlands län","16-24 år","gymnasial utbildning, 3 år","kvinnor",5774,5997,6181,6207,5974,5722,5419,5173
"04 Södermanlands län","16-24 år","eftergymnasial utbildning, mindre än 3 år","män",684,786,831,837,890,853,821,743
"04 Södermanlands län","16-24 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",1238,1294,1305,1254,1262,1237,1198,1098
"04 Södermanlands län","16-24 år","eftergymnasial utbildning, 3 år eller mer","män",116,129,149,181,203,184,178,164
"04 Södermanlands län","16-24 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",314,330,383,434,442,390,378,362
"04 Södermanlands län","16-24 år","forskarutbildning","män",0,0,0,0,0,0,0,0
"04 Södermanlands län","16-24 år","forskarutbildning","kvinnor",0,0,0,0,0,0,0,0
"04 Södermanlands län","16-24 år","uppgift om utbildningsnivå saknas","män",784,702,718,783,775,823,983,1056
"04 Södermanlands län","16-24 år","uppgift om utbildningsnivå saknas","kvinnor",640,603,620,662,661,714,789,782
"04 Södermanlands län","25-34 år","förgymnasial utbildning kortare än 9 år","män",450,522,580,625,689,764,794,815
"04 Södermanlands län","25-34 år","förgymnasial utbildning kortare än 9 år","kvinnor",478,555,626,730,819,848,899,893
"04 Södermanlands län","25-34 år","förgymnasial utbildning, 9 (10) år","män",1843,1923,1964,1936,1960,2070,2130,2204
"04 Södermanlands län","25-34 år","förgymnasial utbildning, 9 (10) år","kvinnor",1209,1276,1300,1291,1332,1355,1393,1406
"04 Södermanlands län","25-34 år","gymnasial utbildning, högst 2 år","män",1551,1517,1574,1616,1670,1712,1770,1723
"04 Södermanlands län","25-34 år","gymnasial utbildning, högst 2 år","kvinnor",1191,1195,1300,1348,1381,1392,1401,1400
"04 Södermanlands län","25-34 år","gymnasial utbildning, 3 år","män",6304,6497,6519,6756,7146,7492,7879,8196
"04 Södermanlands län","25-34 år","gymnasial utbildning, 3 år","kvinnor",4784,4791,4807,4916,5110,5363,5575,5937
"04 Södermanlands län","25-34 år","eftergymnasial utbildning, mindre än 3 år","män",1619,1670,1713,1815,1891,2022,2166,2297
"04 Södermanlands län","25-34 år","eftergymnasial utbildning, mindre än 3 år","kvinnor",1769,1864,1916,2031,2096,2228,2428,2551
"04 Södermanlands län","25-34 år","eftergymnasial utbildning, 3 år eller mer","män",2064,2009,1959,1956,1981,1976,2051,2026
"04 Södermanlands län","25-34 år","eftergymnasial utbildning, 3 år eller mer","kvinnor",3973,3988,4054,4030,4202,4228,4175,4204
"04 Södermanlands län","25-34 år","forskarutbildning","män",28,21,22,13,20,22,25,34
"04 Södermanlands län","25-34 år","forskarutbildning","kvinnor",29,26,20,21,23,25,33,27
"04 Södermanlands län","25-34 år","uppgift om utbildningsnivå saknas","män",438,388,383,419,402,418,540,546
"04 Södermanlands län","25-34 år","uppgift om utbildningsnivå saknas","kvinnor",391,367,325,366,308,310,451,435
"04 Södermanlands län","35-44 år","förgymnasial utbildning kortare än 9 år","män",321,361,381,445,515,566,634,691
"04 Södermanlands län","35-44 år","förgymnasial utbildning kortare än 9 år","kvinnor",515,555,602,676,730,795,819,858
"04 Södermanlands län","35-44 år","förgymnasial utbildning, 9 (10) år","män",1732,1627,1606,1694,1792,1794,1832,1837
"04 Södermanlands län","35-44 år","förgymnasial utbildning, 9 (10) år","kvinnor",1254,1163,1091,1107,1118,1113,1086,1087
"04 Södermanlands län","35-44 år","gymnasial utbildning, högst 2 år","män",7295,6597,5847,5128,4545,4020,3522,3116
"04 Södermanlands län","35-44 år","gymnasial utbildning, högst 2 år","kvinnor",4803,4284,3779,3385,2978,2695,2388,2181
"04 Södermanlands län","35-44 år","gymnasial utbildning, 3 år","män",3093,3468,3913,4247,4598,4977,5363,5577
"04 Södermanlands län","35-44 år","gymnasial utbildning, 3 år","kvinnor",3659,3714,3858,3950,4068,4122,4183,4205
